,communality
analf,0.49257960615623686
sin_basica,0.9429448268695518
sin_drenaje,0.4282638987593566
sin_electr,0.4881905562961585
sin_agua,0.5786551995332221
piso_tierra,0.4774331548040791
hacinam,0.4936575270532463
loc_peq,0.33088962388956616
ing_2sm,0.4547655248493428
rezago_educ,0.9488227788498736
car_salud,0.022435078101516473
car_segsoc,0.265150476249916
car_vivienda,0.5824357900574688
car_servbas,0.4921305606449958
car_alim,0.3253367609909933
lp_ingreso,0.9060885255360378
lp_ingreso_ext,0.8268527058684805
