idSerie,estado,municipio,ent_n,mun_n,cvegeo,NOM_ENT,NOM_MUN,match_score,low_confidence,match_type
SE41187,Aguascalientes,Aguascalientes,aguascalientes,aguascalientes,01001,Aguascalientes,Aguascalientes,1.0,False,exacto
SE41188,Aguascalientes,Asientos,aguascalientes,asientos,01002,Aguascalientes,Asientos,1.0,False,exacto
SE41189,Aguascalientes,Calvillo,aguascalientes,calvillo,01003,Aguascalientes,Calvillo,1.0,False,exacto
SE41190,Aguascalientes,Cosío,aguascalientes,cosio,01004,Aguascalientes,Cosío,1.0,False,exacto
SE41191,Aguascalientes,El Llano,aguascalientes,elllano,01010,Aguascalientes,El Llano,1.0,False,exacto
SE41192,Aguascalientes,Jesús María,aguascalientes,jesusmaria,01005,Aguascalientes,Jesús María,1.0,False,exacto
SE41193,Aguascalientes,Pabellón de Arteaga,aguascalientes,pabellondearteaga,01006,Aguascalientes,Pabellón de Arteaga,1.0,False,exacto
SE41194,Aguascalientes,Rincón de Romos,aguascalientes,rinconderomos,01007,Aguascalientes,Rincón de Romos,1.0,False,exacto
SE41195,Aguascalientes,San Francisco de los Romo,aguascalientes,sanfranciscodelosromo,01011,Aguascalientes,San Francisco de los Romo,1.0,False,exacto
SE41196,Aguascalientes,San José de Gracia,aguascalientes,sanjosedegracia,01008,Aguascalientes,San José de Gracia,1.0,False,exacto
SE41197,Aguascalientes,Tepezalá,aguascalientes,tepezala,01009,Aguascalientes,Tepezalá,1.0,False,exacto
SE41199,Baja California,Ensenada,bajacalifornia,ensenada,02001,Baja California,Ensenada,1.0,False,exacto
SE41200,Baja California,Mexicali,bajacalifornia,mexicali,02002,Baja California,Mexicali,1.0,False,exacto
SE41201,Baja California,Playas de Rosarito,bajacalifornia,playasderosarito,02005,Baja California,Playas de Rosarito,1.0,False,exacto
SE41202,Baja California,Tecate,bajacalifornia,tecate,02003,Baja California,Tecate,1.0,False,exacto
SE41203,Baja California,Tijuana,bajacalifornia,tijuana,02004,Baja California,Tijuana,1.0,False,exacto
SE41205,Baja California Sur,Comondú,bajacaliforniasur,comondu,03001,Baja California Sur,Comondú,1.0,False,exacto
SE41206,Baja California Sur,La Paz,bajacaliforniasur,lapaz,03003,Baja California Sur,La Paz,1.0,False,exacto
SE41207,Baja California Sur,Loreto,bajacaliforniasur,loreto,03009,Baja California Sur,Loreto,1.0,False,exacto
SE41208,Baja California Sur,Los Cabos,bajacaliforniasur,loscabos,03008,Baja California Sur,Los Cabos,1.0,False,exacto
SE41209,Baja California Sur,Mulegé,bajacaliforniasur,mulege,03002,Baja California Sur,Mulegé,1.0,False,exacto
SE41211,Campeche,Calakmul,campeche,calakmul,04010,Campeche,Calakmul,1.0,False,exacto
SE41212,Campeche,Calkiní,campeche,calkini,04001,Campeche,Calkiní,1.0,False,exacto
SE41213,Campeche,Campeche,campeche,campeche,04002,Campeche,Campeche,1.0,False,exacto
SE41214,Campeche,Candelaria,campeche,candelaria,04011,Campeche,Candelaria,1.0,False,exacto
SE41215,Campeche,Carmen,campeche,carmen,04003,Campeche,Carmen,1.0,False,exacto
SE41216,Campeche,Champotón,campeche,champoton,04004,Campeche,Champotón,1.0,False,exacto
SE41217,Campeche,Escárcega,campeche,escarcega,04009,Campeche,Escárcega,1.0,False,exacto
SE41218,Campeche,Hecelchakán,campeche,hecelchakan,04005,Campeche,Hecelchakán,1.0,False,exacto
SE41219,Campeche,Hopelchén,campeche,hopelchen,04006,Campeche,Hopelchén,1.0,False,exacto
SE41220,Campeche,Palizada,campeche,palizada,04007,Campeche,Palizada,1.0,False,exacto
SE41221,Campeche,Tenabo,campeche,tenabo,04008,Campeche,Tenabo,1.0,False,exacto
SE41223,Coahuila,Abasolo,coahuiladezaragoza,abasolo,05001,Coahuila de Zaragoza,Abasolo,1.0,False,exacto
SE41224,Coahuila,Acuña,coahuiladezaragoza,acuna,05002,Coahuila de Zaragoza,Acuña,1.0,False,exacto
SE41225,Coahuila,Allende,coahuiladezaragoza,allende,05003,Coahuila de Zaragoza,Allende,1.0,False,exacto
SE41226,Coahuila,Arteaga,coahuiladezaragoza,arteaga,05004,Coahuila de Zaragoza,Arteaga,1.0,False,exacto
SE41227,Coahuila,Candela,coahuiladezaragoza,candela,05005,Coahuila de Zaragoza,Candela,1.0,False,exacto
SE41228,Coahuila,Castaños,coahuiladezaragoza,castanos,05006,Coahuila de Zaragoza,Castaños,1.0,False,exacto
SE41229,Coahuila,Cuatro Ciénegas,coahuiladezaragoza,cuatrocienegas,05007,Coahuila de Zaragoza,Cuatro Ciénegas,1.0,False,exacto
SE41230,Coahuila,Escobedo,coahuiladezaragoza,escobedo,05008,Coahuila de Zaragoza,Escobedo,1.0,False,exacto
SE41231,Coahuila,Francisco I. Madero,coahuiladezaragoza,franciscoimadero,05009,Coahuila de Zaragoza,Francisco I. Madero,1.0,False,exacto
SE41232,Coahuila,Frontera,coahuiladezaragoza,frontera,05010,Coahuila de Zaragoza,Frontera,1.0,False,exacto
SE41233,Coahuila,General Cepeda,coahuiladezaragoza,generalcepeda,05011,Coahuila de Zaragoza,General Cepeda,1.0,False,exacto
SE41234,Coahuila,Guerrero,coahuiladezaragoza,guerrero,05012,Coahuila de Zaragoza,Guerrero,1.0,False,exacto
SE41235,Coahuila,Hidalgo,coahuiladezaragoza,hidalgo,05013,Coahuila de Zaragoza,Hidalgo,1.0,False,exacto
SE41236,Coahuila,Jiménez,coahuiladezaragoza,jimenez,05014,Coahuila de Zaragoza,Jiménez,1.0,False,exacto
SE41237,Coahuila,Juárez,coahuiladezaragoza,juarez,05015,Coahuila de Zaragoza,Juárez,1.0,False,exacto
SE41238,Coahuila,Lamadrid,coahuiladezaragoza,lamadrid,05016,Coahuila de Zaragoza,Lamadrid,1.0,False,exacto
SE41239,Coahuila,Matamoros,coahuiladezaragoza,matamoros,05017,Coahuila de Zaragoza,Matamoros,1.0,False,exacto
SE41240,Coahuila,Monclova,coahuiladezaragoza,monclova,05018,Coahuila de Zaragoza,Monclova,1.0,False,exacto
SE41241,Coahuila,Morelos,coahuiladezaragoza,morelos,05019,Coahuila de Zaragoza,Morelos,1.0,False,exacto
SE41242,Coahuila,Múzquiz,coahuiladezaragoza,muzquiz,05020,Coahuila de Zaragoza,Múzquiz,1.0,False,exacto
SE41243,Coahuila,Nadadores,coahuiladezaragoza,nadadores,05021,Coahuila de Zaragoza,Nadadores,1.0,False,exacto
SE41244,Coahuila,Nava,coahuiladezaragoza,nava,05022,Coahuila de Zaragoza,Nava,1.0,False,exacto
SE41245,Coahuila,Ocampo,coahuiladezaragoza,ocampo,05023,Coahuila de Zaragoza,Ocampo,1.0,False,exacto
SE41246,Coahuila,Parras,coahuiladezaragoza,parras,05024,Coahuila de Zaragoza,Parras,1.0,False,exacto
SE41247,Coahuila,Piedras Negras,coahuiladezaragoza,piedrasnegras,05025,Coahuila de Zaragoza,Piedras Negras,1.0,False,exacto
SE41248,Coahuila,Progreso,coahuiladezaragoza,progreso,05026,Coahuila de Zaragoza,Progreso,1.0,False,exacto
SE41249,Coahuila,Ramos Arizpe,coahuiladezaragoza,ramosarizpe,05027,Coahuila de Zaragoza,Ramos Arizpe,1.0,False,exacto
