cve_ent,gasto_estatal_pesos,pibe_mdp,pibe_aprox,pob,pibe_pc_mxn,gasto_estatal_pc_mxn,gasto_pibe_pct
01,26045612154.0,306376,1,1425607,214909.16,18269.84,8.5
02,73148689659.0,801564,0,3769020,212671.73,19407.88,9.13
03,17933006466.0,175072,1,798447,219265.65,22459.86,10.24
04,23832684098.0,459565,1,928363,495027.27,25671.73,5.19
05,55016334135.0,789863,0,3146771,251007.46,17483.42,6.97
06,19064120269.0,131304,1,731391,179526.41,26065.57,14.52
07,103711056992.0,328260,1,5543828,59211.79,18707.48,31.59
08,83677821033.0,786176,0,3741869,210102.49,22362.57,10.64
09,,3464828,0,9209944,376205.11,,
10,37423859875.0,262608,1,1832650,143294.14,20420.63,14.25
11,92628811959.0,949404,0,6166934,153950.73,15020.24,9.76
12,72389735691.0,306376,1,3540685,86530.15,20445.12,23.63
13,52783297268.0,350144,1,3082841,113578.35,17121.64,15.07
14,131318927363.0,1591000,0,8348151,190581.12,15730.3,8.25
15,313396211800.0,1993874,0,16992418,117339.04,18443.3,15.72
16,82707316246.0,547101,1,4748846,115207.15,17416.3,15.12
17,30615827703.0,240724,1,1971520,122100.71,15529.05,12.72
18,25472515714.0,153188,1,1235456,123993.08,20617.91,16.63
19,110517256957.0,1744370,0,5784442,301562.36,19105.95,6.34
20,94063990978.0,350144,1,4132148,84736.56,22763.95,26.86
21,96792571012.0,710095,0,6583278,107863.44,14702.79,13.63
22,39280885441.0,503333,1,2368467,212514.26,16584.94,7.8
23,54537759051.0,284492,1,1857985,153118.57,29353.18,19.17
24,51009978600.0,503333,1,2822255,178344.27,18074.19,10.13
25,59137306448.0,503333,1,3026943,166284.27,19536.97,11.75
26,70870781543.0,784273,0,2944840,266321.09,24066.09,9.04
27,58848521302.0,503333,1,2402598,209495.3,24493.7,11.69
28,64764955180.0,678405,1,3527735,192306.11,18358.79,9.55
29,23670708841.0,131304,1,1342977,97770.85,17625.55,18.03
30,154750387094.0,988915,0,8062579,122654.92,19193.66,15.65
31,42970133093.0,328260,1,2320898,141436.63,18514.44,13.09
32,33121371241.0,218840,1,1622138,134908.37,20418.34,15.13
