spec,term,coef,se,t,n
log_aportaciones_efipem_submuestra,const,8.788683,0.215464,40.789476,210
log_aportaciones_efipem_submuestra,nivel,0.540313,0.036794,14.684637,210
log_aportaciones_efipem_submuestra,nivel2,0.189262,0.063472,2.981839,210
log_aportaciones_efipem_submuestra,log_pob,-0.268386,0.047929,-5.599674,210
log_aportaciones_efipem_submuestra,AA,0.15854,0.066726,2.375966,210
log_aportaciones_efipem_submuestra,BB,-0.039588,0.089164,-0.443991,210
log_fais2020,const,1.895105,1.098303,1.725484,224
log_fais2020,nivel,1.086015,0.063477,17.108823,224
log_fais2020,nivel2,-0.009463,0.057019,-0.165955,224
log_fais2020,log_pob,-0.432466,0.069026,-6.265303,224
log_fais2020,loc_peq_pct,0.001879,0.001091,1.722274,224
log_fais2020,log_fortamun_pc,1.042581,0.15476,6.736772,224
log_fais2020,AA,0.055916,0.113603,0.492203,224
log_fais2020,BB,-0.184486,0.083289,-2.215008,224
log_piso2013,const,1.695156,1.437406,1.179316,224
log_piso2013,nivel,0.947959,0.122221,7.756097,224
log_piso2013,nivel2,-0.158227,0.091185,-1.735236,224
log_piso2013,log_pob,-0.022903,0.127397,-0.179775,224
log_piso2013,loc_peq_pct,0.006665,0.002123,3.138947,224
log_piso2013,log_fortamun_pc,0.7624,0.177456,4.296275,224
log_piso2013,AA,0.14461,0.178588,0.809741,224
log_piso2013,BB,-0.399511,0.137139,-2.913195,224
niveles_total_pc,const,-6099.553921,1779.364341,-3.42794,224
niveles_total_pc,nivel,1287.988241,106.656723,12.076016,224
niveles_total_pc,nivel2,544.642904,89.204068,6.105584,224
niveles_total_pc,log_pob,-445.799103,103.384151,-4.312064,224
niveles_total_pc,loc_peq_pct,-0.053193,1.536926,-0.03461,224
niveles_total_pc,log_fortamun_pc,1426.815235,247.651697,5.761379,224
niveles_total_pc,AA,158.811729,172.396047,0.921203,224
niveles_total_pc,BB,-292.772373,92.441404,-3.167113,224
niveles_piso_pc,const,-10154.865722,3338.376875,-3.041857,224
niveles_piso_pc,nivel,1485.365375,264.238102,5.621314,224
niveles_piso_pc,nivel2,367.338054,197.606211,1.85894,224
niveles_piso_pc,log_pob,13.358018,208.123667,0.064183,224
niveles_piso_pc,loc_peq_pct,7.616286,4.266154,1.785281,224
niveles_piso_pc,log_fortamun_pc,1728.83658,447.901969,3.859855,224
