node,kind,in,out,betweenness,pagerank,hub,authority,reach_outcomes,total_deg
z_infra,latente,4,7,0.028,0.044,0.175,0.041,1,11
op_calib,operador,5,5,0.023,0.046,0.025,0.001,2,10
im_conapo,indice,9,0,0.0,0.109,-0.0,0.053,0,9
censo_basico,instrumento,0,8,0.0,0.008,0.191,-0.0,1,8
z_mon,latente,4,4,0.006,0.018,0.024,0.018,1,8
loc_peq,estructural,1,6,0.002,0.009,0.134,0.037,1,7
op_sae,operador,2,5,0.006,0.013,0.006,0.013,2,7
muestra_censal,instrumento,0,7,0.0,0.008,0.064,-0.0,3,7
remesas,estructural,0,5,0.0,0.008,0.051,-0.0,1,5
sin_drenaje,indicador,3,1,0.001,0.016,0.017,0.096,1,4
lp_ingreso,indicador,4,0,0.0,0.025,-0.0,0.022,0,4
pct_60mas,estructural,0,4,0.0,0.008,0.055,-0.0,1,4
car_segsoc,indicador,4,0,0.0,0.031,-0.0,0.021,0,4
sin_agua,indicador,3,1,0.001,0.016,0.017,0.096,1,4
sin_electr,indicador,3,1,0.001,0.016,0.017,0.096,1,4
ing_2sm,indicador,3,1,0.002,0.015,0.017,0.021,1,4
z_edu,latente,1,3,0.002,0.009,0.048,0.026,1,4
analf,indicador,3,1,0.0,0.013,0.017,0.056,1,4
pct_prim,estructural,0,4,0.0,0.008,0.022,-0.0,1,4
sin_basica,indicador,3,1,0.0,0.013,0.017,0.056,1,4
rezago_educ,indicador,3,0,0.0,0.013,-0.0,0.032,0,3
formula_fais_t1,politica,2,1,0.016,0.041,0.0,0.0,1,3
formula_fais_t0,politica,2,1,0.013,0.021,0.0,0.0,1,3
piso_2013,politica,1,2,0.007,0.015,0.0,-0.0,2,3
pobreza_coneval,indice,2,1,0.016,0.031,0.0,0.005,1,3
lp_ingreso_ext,indicador,3,0,0.0,0.021,-0.0,0.019,0,3
dist_conjunta,microdato,2,1,0.004,0.011,0.0,0.014,2,3
z_lab,latente,2,1,0.0,0.013,0.007,0.006,0,3
piso_tierra,indicador,2,1,0.001,0.014,0.017,0.07,1,3
hacinam,indicador,2,1,0.001,0.014,0.017,0.07,1,3
car_vivienda,indicador,3,0,0.0,0.016,-0.0,0.056,0,3
car_alim,indicador,2,0,0.0,0.02,-0.0,0.009,0,2
inversion_t1,politica,1,1,0.006,0.045,0.0,-0.0,0,2
fism_t1,politica,1,1,0.011,0.043,-0.0,0.0,0,2
inversion_t0,politica,1,1,0.018,0.03,0.013,-0.0,1,2
fism_t0,politica,1,1,0.016,0.026,-0.0,0.0,1,2
car_servbas,indicador,2,0,0.0,0.014,-0.0,0.046,0,2
dep_ratio,estructural,0,2,0.0,0.008,0.013,-0.0,1,2
op_identif,operador,1,1,0.004,0.018,0.002,0.0,2,2
car_salud,indicador,2,0,0.0,0.016,-0.0,0.013,0,2
empleo_prec,estructural,0,2,0.0,0.008,0.008,-0.0,1,2
mec_enigh,instrumento,0,2,0.0,0.008,0.005,-0.0,2,2
lpe_raw,preliminar,1,1,0.001,0.01,0.0,0.001,2,2
lpi_raw,preliminar,1,1,0.001,0.01,0.0,0.001,2,2
alim_raw,preliminar,1,1,0.001,0.01,0.0,0.001,2,2
segsoc_raw,preliminar,1,1,0.001,0.01,0.0,0.001,2,2
pobreza_2015,indice,0,1,0.0,0.008,0.0,-0.0,1,1
fiscal,estructural,0,1,0.0,0.008,0.013,-0.0,1,1
pol_salud,estructural,0,1,0.0,0.008,0.004,-0.0,0,1
z_infra_t2,latente,1,0,0.0,0.046,-0.0,0.0,0,1
masa_carencial_pre2013,indice,0,1,0.0,0.008,-0.0,-0.0,2,1
