cvegeo,nom_ent,nom_mun,acumulacion,sev_eje1,sev_eje2,sev_eje3
01001,Aguascalientes,Aguascalientes,0,0,0,0
01002,Aguascalientes,Asientos,0,0,0,0
01003,Aguascalientes,Calvillo,1,0,1,0
01004,Aguascalientes,Cosío,0,0,0,0
01005,Aguascalientes,Jesús María,1,0,1,0
01006,Aguascalientes,Pabellón de Arteaga,0,0,0,0
01007,Aguascalientes,Rincón de Romos,0,0,0,0
01008,Aguascalientes,San José de Gracia,0,0,0,0
01009,Aguascalientes,Tepezalá,0,0,0,0
01010,Aguascalientes,El Llano,0,0,0,0
01011,Aguascalientes,San Francisco de los Romo,2,0,1,1
02001,Baja California,Ensenada,0,0,0,0
02002,Baja California,Mexicali,0,0,0,0
02003,Baja California,Tecate,0,0,0,0
02004,Baja California,Tijuana,0,0,0,0
02005,Baja California,Playas de Rosarito,0,0,0,0
03001,Baja California Sur,Comondú,0,0,0,0
03002,Baja California Sur,Mulegé,0,0,0,0
03003,Baja California Sur,La Paz,0,0,0,0
03008,Baja California Sur,Los Cabos,2,1,0,1
03009,Baja California Sur,Loreto,1,1,0,0
04001,Campeche,Calkiní,0,0,0,0
04002,Campeche,Campeche,1,0,0,1
04003,Campeche,Carmen,2,1,0,1
04004,Campeche,Champotón,0,0,0,0
04005,Campeche,Hecelchakán,0,0,0,0
04006,Campeche,Hopelchén,1,0,1,0
04007,Campeche,Palizada,2,1,0,1
04008,Campeche,Tenabo,2,1,1,0
04009,Campeche,Escárcega,1,0,0,1
04010,Campeche,Calakmul,0,0,0,0
04011,Campeche,Candelaria,0,0,0,0
05001,Coahuila,Abasolo,0,0,0,0
05002,Coahuila,Acuña,1,0,0,1
05003,Coahuila,Allende,0,0,0,0
05004,Coahuila,Arteaga,0,0,0,0
05005,Coahuila,Candela,3,1,1,1
05006,Coahuila,Castaños,0,0,0,0
05007,Coahuila,Cuatro Ciénegas,1,1,0,0
05008,Coahuila,Escobedo,0,0,0,0
05009,Coahuila,Francisco I. Madero,0,0,0,0
05010,Coahuila,Frontera,0,0,0,0
05011,Coahuila,General Cepeda,0,0,0,0
05012,Coahuila,Guerrero,2,1,0,1
05013,Coahuila,Hidalgo,1,0,1,0
05014,Coahuila,Jiménez,3,1,1,1
05015,Coahuila,Juárez,0,0,0,0
05016,Coahuila,Lamadrid,0,0,0,0
05017,Coahuila,Matamoros,0,0,0,0
05018,Coahuila,Monclova,0,0,0,0
05019,Coahuila,Morelos,0,0,0,0
05020,Coahuila,Múzquiz,0,0,0,0
05021,Coahuila,Nadadores,0,0,0,0
05022,Coahuila,Nava,1,0,0,1
05023,Coahuila,Ocampo,1,1,0,0
05024,Coahuila,Parras,0,0,0,0
05025,Coahuila,Piedras Negras,1,0,1,0
05026,Coahuila,Progreso,0,0,0,0
05027,Coahuila,Ramos Arizpe,0,0,0,0
05028,Coahuila,Sabinas,0,0,0,0
05029,Coahuila,Sacramento,0,0,0,0
05030,Coahuila,Saltillo,0,0,0,0
05031,Coahuila,San Buenaventura,0,0,0,0
05032,Coahuila,San Juan de Sabinas,1,0,0,1
05033,Coahuila,San Pedro,0,0,0,0
05034,Coahuila,Sierra Mojada,1,0,0,1
05035,Coahuila,Torreón,0,0,0,0
05036,Coahuila,Viesca,1,1,0,0
05037,Coahuila,Villa Unión,0,0,0,0
05038,Coahuila,Zaragoza,0,0,0,0
06001,Colima,Armería,0,0,0,0
06002,Colima,Colima,0,0,0,0
06003,Colima,Comala,1,1,0,0
06004,Colima,Coquimatlán,1,1,0,0
06005,Colima,Cuauhtémoc,0,0,0,0
06006,Colima,Ixtlahuacán,0,0,0,0
06007,Colima,Manzanillo,1,0,1,0
06008,Colima,Minatitlán,1,1,0,0
06009,Colima,Tecomán,1,0,1,0
06010,Colima,Villa de Álvarez,0,0,0,0
07001,Chiapas,Acacoyagua,0,0,0,0
07002,Chiapas,Acala,2,1,0,1
07003,Chiapas,Acapetahua,0,0,0,0
07004,Chiapas,Altamirano,1,0,1,0
07005,Chiapas,Amatán,0,0,0,0
07006,Chiapas,Amatenango de la Frontera,0,0,0,0
07007,Chiapas,Amatenango del Valle,2,1,1,0
07008,Chiapas,Ángel Albino Corzo,1,1,0,0
07009,Chiapas,Arriaga,1,1,0,0
07010,Chiapas,Bejucal de Ocampo,0,0,0,0
07011,Chiapas,Bella Vista,0,0,0,0
07012,Chiapas,Berriozábal,1,1,0,0
07013,Chiapas,Bochil,1,0,0,1
07014,Chiapas,El Bosque,1,0,0,1
07015,Chiapas,Cacahoatán,1,0,0,1
07016,Chiapas,Catazajá,1,1,0,0
07017,Chiapas,Cintalapa,1,1,0,0
07018,Chiapas,Coapilla,1,0,0,1
07019,Chiapas,Comitán de Domínguez,1,0,1,0
07020,Chiapas,La Concordia,1,1,0,0
