medida,tipo,total,entre_estados,dentro_estados,pct_entre,p90_p10
analf_pct,theil_indicador,0.4223,0.2245,0.1979,53.1,8.1
sin_basica_pct,theil_indicador,0.0874,0.0386,0.0488,44.2,2.4
sin_drenaje_pct,theil_indicador,1.2444,0.4399,0.8045,35.3,32.9
sin_electr_pct,theil_indicador,1.0765,0.3345,0.742,31.1,17.5
sin_agua_pct,theil_indicador,0.8346,0.337,0.4976,40.4,43.7
piso_tierra_pct,theil_indicador,0.6877,0.3763,0.3115,54.7,24.4
hacinam_pct,theil_indicador,0.0934,0.0446,0.0488,47.8,2.9
loc_peq_pct,theil_indicador,0.6478,0.2205,0.4273,34.0,7.7
ing_2sm_pct,theil_indicador,0.0221,0.0104,0.0116,47.3,1.5
rezago_educ_pct,theil_indicador,0.1251,0.0631,0.062,50.5,3.0
car_salud_pct,theil_indicador,0.0581,0.0242,0.0339,41.6,4.2
car_segsoc_pct,theil_indicador,0.0453,0.022,0.0234,48.5,1.8
car_vivienda_pct,theil_indicador,0.2972,0.1441,0.1531,48.5,7.8
car_servbas_pct,theil_indicador,0.6933,0.3766,0.3166,54.3,20.0
car_alim_pct,theil_indicador,0.0871,0.0357,0.0514,41.0,4.0
lp_ingreso_pct,theil_indicador,0.0587,0.0345,0.0242,58.8,2.4
lp_ingreso_ext_pct,theil_indicador,0.2236,0.1251,0.0985,55.9,6.3
eje1,var_eje_canonico,0.7181,0.1697,0.5483,23.6,
eje2,var_eje_canonico,0.5616,0.0775,0.4841,13.8,
eje3,var_eje_canonico,0.444,0.058,0.386,13.1,
z_material_bruto,var_eje,0.7949,0.4037,0.3912,50.8,
