,eje1,eje2,eje3
analf,0.464,0.195,0.013
sin_basica,0.31,0.373,-0.06
sin_drenaje,0.344,-0.048,-0.07
sin_electr,0.332,-0.216,-0.251
sin_agua,0.327,-0.143,-0.166
piso_tierra,0.364,-0.224,-0.095
hacinam,0.399,-0.071,0.157
loc_peq,-0.0,0.007,-0.009
ing_2sm,0.161,0.043,0.257
rezago_educ,0.428,0.466,-0.112
car_salud,0.099,0.134,-0.052
car_segsoc,0.115,0.156,0.054
car_vivienda,0.507,-0.176,-0.026
car_servbas,0.451,-0.138,0.049
car_alim,0.27,-0.114,0.092
lp_ingreso,0.215,-0.019,0.286
lp_ingreso_ext,0.229,-0.054,0.246
