,eje1,eje2,eje3
analf,0.314,0.216,0.011
sin_basica,0.189,0.361,0.0
sin_drenaje,0.362,-0.053,-0.253
sin_electr,0.468,-0.17,-0.128
sin_agua,0.403,-0.135,-0.188
piso_tierra,0.338,-0.137,0.21
hacinam,0.246,-0.02,0.144
loc_peq,-0.009,0.009,0.029
ing_2sm,0.032,0.046,0.076
rezago_educ,0.287,0.442,-0.003
car_salud,0.086,0.099,-0.097
car_segsoc,0.135,0.146,0.001
car_vivienda,0.395,-0.105,0.291
car_servbas,0.305,-0.106,0.006
car_alim,0.23,-0.067,-0.052
lp_ingreso,0.045,0.02,0.151
lp_ingreso_ext,0.085,0.003,0.147
