linea,outcome,var,beta,se,t
G5a,eje1,coercion_any,-0.035,0.111,-0.3
G5a,eje1,log_coercion_r100k,0.141,0.06,2.3
G5a,eje2,coercion_any,-0.007,0.114,-0.1
G5a,eje2,log_coercion_r100k,0.024,0.055,0.4
G5a,eje3,coercion_any,0.372,0.092,4.0
G5a,eje3,log_coercion_r100k,-0.157,0.047,-3.3
G5b,log_hom_eb,coercion_any,0.26,0.097,2.7
G5b,log_hom_eb,log_coercion_r100k,-0.077,0.037,-2.1
G5b,log_hom_eb,coercion_any|C,0.252,0.097,2.6
G5b,log_hom_eb,C_calderon,0.138,0.033,4.2
G5c,coercion_any,C_calderon,0.05,0.018,2.8
G5c,coercion_any,juxt,-0.023,0.025,-0.9
G5c,coercion_any,CxJuxt,0.056,0.016,3.4
G5d,pc1_gamma_estatal,corr_coercion,-0.061,,
G5_rob,eje1,sin_proxies_cobertura:coercion_any,-0.126,0.121,-1.0
G5_rob,log_hom_eb,sin_proxies_cobertura:coercion_any,0.244,0.097,2.5
G5_rob,eje1,sin_5_metropolis:coercion_any,-0.02,0.115,-0.2
G5_rob,log_hom_eb,sin_5_metropolis:coercion_any,0.237,0.1,2.4
