linea,outcome,ventana,var,beta,se,t
G1,eje1,reciente_1518,P,0.019,0.043,0.4
G1,eje1,reciente_1518,C,-0.052,0.049,-1.1
G1,eje1,reciente_1518,WC,0.209,0.083,2.5
G1,eje2,reciente_1518,P,0.052,0.05,1.0
G1,eje2,reciente_1518,C,-0.021,0.053,-0.4
G1,eje2,reciente_1518,WC,0.192,0.097,2.0
G1,eje3,reciente_1518,P,-0.1,0.044,-2.3
G1,eje3,reciente_1518,C,0.124,0.048,2.6
G1,eje3,reciente_1518,WC,-0.052,0.08,-0.7
G2,brecha_apropiacion,reciente_1518,P,0.004,0.024,0.2
G2,brecha_apropiacion,reciente_1518,C,0.031,0.026,1.2
G2,brecha_apropiacion,reciente_1518,WC,0.093,0.042,2.2
G4,log_hom_eb,reciente_1518,P_solo,0.106,0.023,4.5
G4,log_hom_eb,reciente_1518,P,0.084,0.026,3.2
G4,log_hom_eb,reciente_1518,C,0.044,0.035,1.3
G4,log_hom_eb,reciente_1518,WC,0.082,0.058,1.4
