,material,monetario
analf,0.5245782890769435,0.4768250966271289
sin_basica,0.19345730509824985,0.6625606101546165
sin_drenaje,0.4115443644256348,0.14749414061064922
sin_electr,0.36144105165369816,0.02130638269778074
sin_agua,0.2957518637169793,0.037348767490609336
piso_tierra,0.485499626296699,-0.03396806866581637
hacinam,0.6056010542240172,0.05203898278182188
loc_peq,-0.00944528738576331,0.01314250661322945
ing_2sm,0.26612228100938856,0.0397279436659695
rezago_educ,0.2894875492876929,0.8592282985396565
car_salud,0.04514967237909024,0.24446283916391295
car_segsoc,0.07869852507385008,0.2419556956897468
car_vivienda,0.6779294970461396,0.06273312431490122
car_servbas,0.6529684395465596,0.03698150596647884
car_alim,0.44716765599561215,-0.04759138118815525
lp_ingreso,0.37184442579693366,-0.013995997908883943
lp_ingreso_ext,0.3882028609681379,-0.03425458109399252
