factor,modelo,feature,imp
material,M3_lentes,log_ntl,0.2677
material,M3_lentes,ntl_pc,0.2843
material,M3_lentes,elev_mean,0.3344
material,M3_lentes,tri_mean,0.2798
material,M3_lentes,acc_km,0.2548
material,M4_lentes+vistaD,log_ntl,0.1565
material,M4_lentes+vistaD,ntl_pc,0.109
material,M4_lentes+vistaD,elev_mean,0.2346
material,M4_lentes+vistaD,tri_mean,0.2077
material,M4_lentes+vistaD,acc_km,0.1125
material,M4_lentes+vistaD,dep_ratio,0.1219
material,M4_lentes+vistaD,pct_60mas,0.133
material,M4_lentes+vistaD,pct_primario,0.1027
material,M4_lentes+vistaD,pct_secundario,0.1038
material,M4_lentes+vistaD,empleo_precario_pct,0.2323
material,M4_lentes+vistaD,remesas_pc_usd,0.099
material,M4_lentes+vistaD,loc_peq_pct,0.0759
material,M4_lentes+vistaD,log_pob,0.1519
educativo,M3_lentes,log_ntl,0.4259
educativo,M3_lentes,ntl_pc,0.3023
educativo,M3_lentes,elev_mean,0.3128
educativo,M3_lentes,tri_mean,0.3661
educativo,M3_lentes,acc_km,0.1995
educativo,M4_lentes+vistaD,log_ntl,0.3742
educativo,M4_lentes+vistaD,ntl_pc,0.2359
educativo,M4_lentes+vistaD,elev_mean,0.1498
educativo,M4_lentes+vistaD,tri_mean,0.2111
educativo,M4_lentes+vistaD,acc_km,0.0624
educativo,M4_lentes+vistaD,dep_ratio,0.0911
educativo,M4_lentes+vistaD,pct_60mas,0.0847
educativo,M4_lentes+vistaD,pct_primario,0.0808
educativo,M4_lentes+vistaD,pct_secundario,0.0488
educativo,M4_lentes+vistaD,empleo_precario_pct,0.1509
educativo,M4_lentes+vistaD,remesas_pc_usd,0.1673
educativo,M4_lentes+vistaD,loc_peq_pct,0.0979
educativo,M4_lentes+vistaD,log_pob,0.1626
monetario,M3_lentes,log_ntl,0.3093
monetario,M3_lentes,ntl_pc,0.2841
monetario,M3_lentes,elev_mean,0.2922
monetario,M3_lentes,tri_mean,0.2689
monetario,M3_lentes,acc_km,0.2523
monetario,M4_lentes+vistaD,log_ntl,0.2
monetario,M4_lentes+vistaD,ntl_pc,0.109
monetario,M4_lentes+vistaD,elev_mean,0.1838
monetario,M4_lentes+vistaD,tri_mean,0.1735
monetario,M4_lentes+vistaD,acc_km,0.1006
monetario,M4_lentes+vistaD,dep_ratio,0.1723
monetario,M4_lentes+vistaD,pct_60mas,0.1396
monetario,M4_lentes+vistaD,pct_primario,0.0977
monetario,M4_lentes+vistaD,pct_secundario,0.1133
monetario,M4_lentes+vistaD,empleo_precario_pct,0.1402
monetario,M4_lentes+vistaD,remesas_pc_usd,0.0974
monetario,M4_lentes+vistaD,loc_peq_pct,0.0148
monetario,M4_lentes+vistaD,log_pob,0.2005
