outcome,factor,modelo,estimador,r2cv_media,r2cv_sd,mae,moran_resid,mae_AA,mae_BB,mae_ns,r2_norte,r2_centro,r2_sur-sureste
rung1,material,M0_vistaD,ridge,0.7022,0.1076,0.3328,0.5708,0.3784,0.3129,0.3317,0.5452,0.7256,0.5993
rung1,material,M0_vistaD,hgb,0.6795,0.1132,0.3429,0.4835,0.4012,0.337,0.3396,0.5751,0.6693,0.5642
rung1,material,M1_ntl,ridge,-0.0347,0.4126,0.5804,0.5724,0.4909,0.3493,0.6082,-0.4363,0.192,-0.5646
rung1,material,M1_ntl,hgb,0.408,0.1416,0.471,0.4747,0.4883,0.4001,0.4766,0.2845,0.2815,0.1979
rung1,material,M2_geografia,ridge,0.0181,0.3208,0.6163,0.6701,0.5085,0.4308,0.641,-0.7864,0.169,-0.2643
rung1,material,M2_geografia,hgb,0.0161,0.4392,0.6142,0.5794,0.5722,0.4393,0.6335,-0.3275,0.0226,-0.3315
rung1,material,M3_lentes,ridge,0.1206,0.2959,0.551,0.5784,0.4945,0.3833,0.5706,-0.2604,0.2633,-0.2837
rung1,material,M3_lentes,hgb,0.4089,0.1733,0.4701,0.4976,0.4764,0.398,0.4765,0.3863,0.2406,0.1892
rung1,material,M4_vistaD+lentes,ridge,0.7263,0.0852,0.3068,0.4799,0.3704,0.2245,0.3105,0.5566,0.7929,0.6169
rung1,material,M4_vistaD+lentes,hgb,0.7652,0.0795,0.2943,0.4089,0.3565,0.2285,0.2965,0.687,0.754,0.6846
rung1,educativo,M0_vistaD,ridge,0.1314,0.4331,0.5388,0.5271,0.8921,0.7112,0.4993,0.1612,0.4413,-0.1303
rung1,educativo,M0_vistaD,hgb,0.2475,0.2985,0.5042,0.4502,0.8012,0.6908,0.4671,0.2518,0.5126,0.0292
rung1,educativo,M1_ntl,ridge,-0.0038,0.2163,0.5794,0.4988,0.9587,0.73,0.5403,-0.0556,0.301,-0.2698
rung1,educativo,M1_ntl,hgb,-0.105,0.6415,0.6075,0.5066,0.8194,0.7808,0.5772,0.3115,0.3354,-0.6051
rung1,educativo,M2_geografia,ridge,-0.1591,0.3594,0.6395,0.5558,0.9275,0.829,0.6027,-0.1086,0.0607,-0.3596
