escenario,bloque,mload_mean,mload_lo,mload_hi
base {+pesos originales},educación,0.0117,0.0009,0.0282
base {+pesos originales},líneas (SAE),0.5736,0.5568,0.5905
base {+pesos originales},vivienda-servicios,0.0286,0.0027,0.0691
educ −20% censal,educación,0.0124,0.0012,0.028
educ −20% censal,líneas (SAE),0.593,0.5586,0.6268
educ −20% censal,vivienda-servicios,0.0291,0.0028,0.0721
educ +20% censal,educación,0.011,0.0009,0.0256
educ +20% censal,líneas (SAE),0.5932,0.5584,0.6274
educ +20% censal,vivienda-servicios,0.0289,0.0026,0.0701
líneas asimétrica 1:0.8,educación,0.0104,0.0008,0.0239
líneas asimétrica 1:0.8,líneas (SAE),0.3245,0.0167,0.5728
líneas asimétrica 1:0.8,vivienda-servicios,0.0921,0.005,0.1822
líneas asimétrica 0.8:1,educación,0.0113,0.001,0.0253
líneas asimétrica 0.8:1,líneas (SAE),0.5272,0.4638,0.5885
líneas asimétrica 0.8:1,vivienda-servicios,0.043,0.0037,0.1048
vivienda −20% CONEVAL,educación,0.0115,0.0009,0.0276
vivienda −20% CONEVAL,líneas (SAE),0.5931,0.558,0.6271
vivienda −20% CONEVAL,vivienda-servicios,0.0331,0.0027,0.0812
vivienda +20% CONEVAL,educación,0.0113,0.0008,0.0262
vivienda +20% CONEVAL,líneas (SAE),0.5931,0.5591,0.6271
vivienda +20% CONEVAL,vivienda-servicios,0.0275,0.0024,0.0664
