variante,escenario,rep,seed,K_true,K_fit,lambda_true,sigma_gamma_true,corr_par_lp,lambda_hat,lambda_q5,lambda_q95,cubre_ic90,lambda_otros_max,frobenius_rel,corr_comunalidades,gamma_corr,gamma_rmse,rhat_max,divergencias,minutos
anclada,a_lam0,0,20260713,3,3,0.0,0.5,0.733,0.045,0.0,0.086,,0.064,0.2,0.985,0.984,0.088,1.831,0,0.6
anclada,a_lam0,1,20260714,3,3,0.0,0.5,0.714,0.018,0.0,0.035,,0.041,0.143,0.982,0.98,0.099,1.017,0,0.5
anclada,a_lam03,0,20261713,3,3,0.3,0.5,0.881,0.329,0.288,0.366,1.0,0.08,0.137,0.994,0.978,0.104,1.831,0,0.5
anclada,a_lam03,1,20261714,3,3,0.3,0.5,0.876,0.305,0.288,0.32,1.0,0.055,0.127,0.991,0.985,0.088,1.024,0,0.6
anclada,a_lam06,0,20262713,3,3,0.6,0.5,0.945,0.632,0.608,0.656,0.0,0.111,0.227,0.987,0.982,0.094,1.015,0,0.5
anclada,a_lam06,1,20262714,3,3,0.6,0.5,0.95,0.584,0.554,0.609,1.0,0.152,0.127,0.993,0.977,0.103,1.018,0,0.6
anclada,a_lam03_sg0,0,20263713,3,3,0.3,0.0,0.876,0.329,0.288,0.371,1.0,0.096,0.155,0.991,,0.09,1.831,0,0.6
anclada,a_lam03_sg0,1,20263714,3,3,0.3,0.0,0.878,0.347,0.304,0.387,0.0,0.059,0.204,0.982,,0.099,1.83,0,0.6
anclada,b_anclas,0,20264713,3,3,0.3,0.5,0.734,0.3,0.287,0.312,1.0,0.044,0.153,0.991,0.982,0.093,1.029,0,1.0
anclada,b_anclas,1,20264714,3,3,0.3,0.5,0.772,0.321,0.306,0.334,0.0,0.046,0.139,0.994,0.98,0.098,1.87,0,0.8
anclada,c_gen2_fit3,0,20265713,2,3,0.3,0.5,0.872,0.284,0.251,0.316,1.0,0.038,0.072,0.996,0.98,0.095,1.02,0,0.8
anclada,c_gen2_fit3,1,20265714,2,3,0.3,0.5,0.866,0.263,0.22,0.307,1.0,0.045,0.116,0.998,0.981,0.098,1.021,0,0.6
anclada,c_gen3_fit2,0,20266713,3,2,0.3,0.5,0.876,0.357,0.343,0.37,0.0,0.095,0.33,0.897,0.98,0.097,1.021,0,0.5
anclada,c_gen3_fit2,1,20266714,3,2,0.3,0.5,0.876,0.37,0.35,0.393,0.0,0.178,0.319,0.945,0.979,0.102,1.85,0,0.5
anclada,d_referee,0,20267713,3,3,0.0,0.5,0.98,0.075,0.001,0.146,,0.071,0.191,0.976,0.977,0.106,1.835,0,1.5
anclada,d_referee,1,20267714,3,3,0.0,0.5,0.979,0.059,0.0,0.12,,0.053,0.364,0.911,0.981,0.098,1.845,0,2.2
libre,a_lam0,0,20260713,3,3,0.0,0.5,0.733,0.023,0.0,0.046,,0.075,0.096,0.997,0.984,0.089,1.025,0,3.2
libre,a_lam0,1,20260714,3,3,0.0,0.5,0.714,0.018,0.001,0.036,,0.041,0.146,0.982,0.981,0.099,1.023,0,3.4
libre,a_lam03,0,20261713,3,3,0.3,0.5,0.881,0.303,0.285,0.318,1.0,0.074,0.109,0.995,0.978,0.103,1.023,0,3.3
libre,a_lam03,1,20261714,3,3,0.3,0.5,0.876,0.306,0.29,0.32,1.0,0.055,0.127,0.991,0.985,0.088,1.023,0,3.3
libre,a_lam06,0,20262713,3,3,0.6,0.5,0.945,0.589,0.564,0.615,1.0,0.073,0.132,0.988,0.982,0.095,1.016,0,3.1
libre,a_lam06,1,20262714,3,3,0.6,0.5,0.95,0.585,0.562,0.611,1.0,0.149,0.124,0.993,0.977,0.104,1.025,0,3.4
libre,a_lam03_sg0,0,20263713,3,3,0.3,0.0,0.876,0.303,0.287,0.318,1.0,0.089,0.133,0.992,,0.09,1.021,0,3.5
libre,a_lam03_sg0,1,20263714,3,3,0.3,0.0,0.878,0.319,0.304,0.334,0.0,0.059,0.186,0.984,,0.099,1.017,0,3.8
libre,b_anclas,0,20264713,3,3,0.3,0.5,0.734,0.292,0.279,0.306,1.0,0.042,0.138,0.991,0.982,0.093,1.025,0,1.0
libre,b_anclas,1,20264714,3,3,0.3,0.5,0.772,0.319,0.306,0.333,0.0,0.044,0.13,0.993,0.98,0.098,1.023,0,1.1
libre,c_gen2_fit3,0,20265713,2,3,0.3,0.5,0.872,0.31,0.294,0.325,1.0,0.041,0.074,0.996,0.98,0.096,1.019,0,1.0
libre,c_gen2_fit3,1,20265714,2,3,0.3,0.5,0.866,0.3,0.287,0.314,1.0,0.049,0.121,0.997,0.981,0.098,1.019,0,1.1
libre,c_gen3_fit2,0,20266713,3,2,0.3,0.5,0.876,0.357,0.341,0.371,0.0,0.089,0.331,0.896,0.98,0.096,1.016,0,0.9
libre,c_gen3_fit2,1,20266714,3,2,0.3,0.5,0.876,0.36,0.345,0.376,0.0,0.106,0.316,0.921,0.979,0.101,1.019,0,1.1
libre,d_referee,0,20267713,3,3,0.0,0.5,0.98,0.066,0.0,0.127,,0.069,0.108,0.992,0.978,0.105,1.03,0,3.4
libre,d_referee,1,20267714,3,3,0.0,0.5,0.979,0.061,0.0,0.121,,0.051,0.125,0.992,0.981,0.097,1.017,0,4.4
