escenario,variante,lambda_true,lambda_hat,frob,corr_com,gamma_corr,rhat,div
a_lam0,anclada,0.0,0.032,0.172,0.984,0.982,1.831,0
a_lam0,libre,0.0,0.02,0.121,0.99,0.982,1.025,0
a_lam03,anclada,0.3,0.317,0.132,0.992,0.982,1.831,0
a_lam03,libre,0.3,0.304,0.118,0.993,0.982,1.023,0
a_lam03_sg0,anclada,0.3,0.338,0.18,0.986,,1.831,0
a_lam03_sg0,libre,0.3,0.311,0.16,0.988,,1.021,0
a_lam06,anclada,0.6,0.608,0.177,0.99,0.98,1.018,0
a_lam06,libre,0.6,0.587,0.128,0.99,0.98,1.025,0
b_anclas,anclada,0.3,0.31,0.146,0.992,0.981,1.87,0
b_anclas,libre,0.3,0.306,0.134,0.992,0.981,1.025,0
c_gen2_fit3,anclada,0.3,0.273,0.094,0.997,0.98,1.021,0
c_gen2_fit3,libre,0.3,0.305,0.098,0.996,0.98,1.019,0
c_gen3_fit2,anclada,0.3,0.364,0.324,0.921,0.98,1.85,0
c_gen3_fit2,libre,0.3,0.358,0.324,0.909,0.98,1.019,0
d_referee,anclada,0.0,0.067,0.277,0.944,0.979,1.845,0
d_referee,libre,0.0,0.064,0.116,0.992,0.98,1.03,0
