factor,cvegeo,municipio,estado,z,sd,pob,discordancia_obs,lisa
material,08008,Batopilas de Manuel Gómez Morín,Chihuahua,4.28,0.46,11270,1.19,AA
material,08007,Balleza,Chihuahua,3.86,0.5,16440,1.04,AA
material,08065,Urique,Chihuahua,3.73,0.46,17043,1.02,AA
material,08066,Uruachi,Chihuahua,3.68,0.46,6512,0.7,AA
material,08041,Maguarichi,Chihuahua,3.61,0.46,1302,0.99,AA
material,14019,Bolaños,Jalisco,3.12,0.58,7043,1.16,AA
material,08012,Carichí,Chihuahua,3.08,0.55,8113,1.19,AA
material,08027,Guachochi,Chihuahua,2.99,0.44,50180,0.89,AA
material,14061,Mezquitic,Jalisco,2.89,0.51,22083,0.94,AA
material,10014,Mezquital,Durango,2.81,0.53,48583,0.73,AA
material,14056,Santa María del Oro,Jalisco,2.8,0.47,1815,0.75,ns
material,20563,Yogana,Oaxaca,2.67,0.52,1245,0.54,ns
material,20124,San Blas Atempa,Oaxaca,2.6,0.54,19696,0.18,ns
material,08030,Guazapares,Chihuahua,2.59,0.44,8196,0.88,AA
material,26003,Alamos,Sonora,2.58,0.44,24976,0.24,AA
material,20248,San Mateo del Mar,Oaxaca,2.57,0.53,15571,0.46,ns
material,20103,San Antonino Castillo Velasco,Oaxaca,2.54,0.48,6064,-0.53,ns
material,20253,San Mateo Piñas,Oaxaca,2.48,0.46,2021,0.26,ns
material,18009,Del Nayar,Nayarit,2.47,0.58,47550,1.17,AA
material,08049,Nonoava,Chihuahua,2.45,0.45,2757,0.96,AA
material,08020,Chínipas,Chihuahua,2.39,0.52,6222,1.07,AA
material,20025,Chahuites,Oaxaca,2.36,0.44,11356,-0.52,ns
material,26049,Quiriego,Sonora,2.35,0.46,3090,0.9,ns
material,18019,La Yesca,Nayarit,2.3,0.55,13719,0.87,AA
material,20007,Asunción Ocotlán,Oaxaca,2.21,0.56,2395,0.04,AA
educativo,20452,Santiago Apóstol,Oaxaca,3.58,0.6,4421,-0.48,ns
educativo,20209,San Juan Mixtepec -Dto. 26,Oaxaca,3.5,0.63,607,0.17,ns
educativo,30147,Soledad Atzompa,Veracruz,3.35,0.57,24578,-0.54,ns
educativo,21162,Tepango de Rodríguez,Puebla,2.73,0.58,4155,-0.2,ns
educativo,20359,Santa Ana Yareni,Oaxaca,2.67,0.57,637,-0.17,BB
educativo,30159,Tehuipango,Veracruz,2.67,0.65,29686,0.34,ns
educativo,20097,San Andrés Solaga,Oaxaca,2.59,0.74,1771,0.18,ns
educativo,20007,Asunción Ocotlán,Oaxaca,2.52,0.61,2395,0.04,AA
educativo,07058,Nicolás Ruíz,Chiapas,2.5,0.57,4765,-0.41,ns
educativo,20448,Santa María Zaniza,Oaxaca,2.47,0.6,2469,-0.33,ns
educativo,20442,Santa María Yalina,Oaxaca,2.36,0.61,250,0.96,BB
educativo,20288,San Miguel Yotao,Oaxaca,2.36,0.61,585,-0.99,ns
educativo,20311,San Pedro Jaltepetongo,Oaxaca,2.33,0.7,483,0.45,ns
educativo,20301,San Pedro Apóstol,Oaxaca,2.33,0.58,1594,0.1,AA
educativo,20191,San Juan Chicomezúchil,Oaxaca,2.31,0.62,296,-0.03,ns
educativo,20450,Santiago Amoltepec,Oaxaca,2.31,0.59,13855,-0.52,ns
educativo,20085,San Agustín Loxicha,Oaxaca,2.21,0.56,26194,-0.18,ns
educativo,20546,Teotitlán del Valle,Oaxaca,2.2,0.59,6392,-0.09,ns
educativo,07023,Chamula,Chiapas,2.16,0.78,101967,0.27,ns
educativo,20233,San Lucas Quiaviní,Oaxaca,2.16,0.67,1720,-0.25,ns
educativo,20514,Santo Domingo Roayaga,Oaxaca,2.12,0.56,941,-0.52,ns
educativo,24029,San Martín Chalchicuautla,San Luis Potosí,2.12,0.58,18468,0.4,ns
educativo,15122,Valle de Chalco Solidaridad,Estado de México,2.1,0.61,391731,-0.82,BB
educativo,24039,Tampamolón Corona,San Luis Potosí,2.03,0.61,13603,0.14,ns
educativo,19024,General Zaragoza,Nuevo León,2.03,0.57,6282,0.32,ns
monetario,08054,Riva Palacio,Chihuahua,5.13,1.63,7695,0.63,ns
monetario,20223,San Juan Yatzona,Oaxaca,3.62,0.95,440,-0.67,ns
monetario,20051,Magdalena Teitipac,Oaxaca,3.35,0.76,4764,0.09,ns
monetario,20524,Santo Domingo Yodohino,Oaxaca,3.22,1.03,327,-1.23,ns
monetario,20352,San Simón Zahuatlán,Oaxaca,2.95,1.2,4940,-1.1,ns
monetario,21144,San Salvador Huixcolotla,Puebla,2.81,0.66,16790,-0.76,BB
monetario,07023,Chamula,Chiapas,2.68,0.87,101967,0.27,ns
monetario,21118,Los Reyes de Juárez,Puebla,2.66,0.69,30021,-0.69,BB
monetario,19003,Los Aldamas,Nuevo León,2.64,0.51,1407,0.37,ns
monetario,30096,Landero y Coss,Veracruz,2.6,0.58,1543,0.19,ns
monetario,07111,Zinacantán,Chiapas,2.59,0.52,45373,-0.13,ns
monetario,21038,Cuapiaxtla de Madero,Puebla,2.43,0.7,10542,-0.55,BB
monetario,26044,Ónavas,Sonora,2.41,0.45,365,-0.4,ns
monetario,31011,Celestún,Yucatán,2.4,0.58,8389,-0.95,ns
monetario,07041,La Independencia,Chiapas,2.31,0.58,46409,-0.17,ns
monetario,26015,Bavispe,Sonora,2.3,0.74,1169,-0.56,ns
monetario,20262,San Miguel Amatlán,Oaxaca,2.26,1.08,991,0.18,ns
monetario,20529,Santos Reyes Yucuná,Oaxaca,2.26,0.77,1474,0.16,ns
monetario,24049,Villa de Ramos,San Luis Potosí,2.25,0.58,38389,-0.01,ns
monetario,08035,Janos,Chihuahua,2.21,0.79,11005,0.11,ns
monetario,32029,Miguel Auza,Zacatecas,2.2,0.44,23713,-0.37,ns
monetario,30025,Ayahualulco,Veracruz,2.12,0.75,27217,0.0,BB
monetario,14116,Villa Hidalgo,Jalisco,2.06,0.61,20088,-0.57,ns
monetario,16094,Tlazazalca,Michoacán,2.03,0.45,6420,0.02,ns
monetario,20242,San Martín Peras,Oaxaca,1.97,0.54,12436,-0.2,ns
