cvegeo,nom_ent,nom_mun,pob_conapo,eje1_mean,eje2_mean,eje3_mean,lisa,loc_peq_pct,remesas_pc_usd,P_reciente_1518
05005,Coahuila,Candela,1643,0.58,1.37,0.67,ns,100.0,151.81,1
05014,Coahuila,Jiménez,9502,1.15,1.0,0.52,ns,100.0,36.0,0
07028,Chiapas,Chiapilla,6156,0.68,1.05,1.66,ns,100.0,13.54,0
12071,Guerrero,Xochistlahuaca,29891,1.0,1.46,1.0,ns,100.0,98.96,1
13002,Hidalgo,Acaxochitlán,46065,1.56,1.77,0.94,ns,88.9,24.04,0
13032,Hidalgo,Jaltocán,10523,1.18,0.77,0.71,ns,43.75,8.58,1
16006,Michoacán,Apatzingán,126191,0.74,0.77,1.03,ns,18.88,1516.48,1
20007,Oaxaca,Asunción Ocotlán,2395,2.77,1.08,2.02,AA,100.0,34.09,0
20016,Oaxaca,Coicoyán de las Flores,9563,0.65,1.62,1.11,ns,100.0,10.52,0
20041,Oaxaca,Huautla de Jiménez,31710,1.7,0.84,0.64,ns,60.64,64.9,1
20058,Oaxaca,Mazatlán Villa de Flores,12722,0.69,0.76,1.34,ns,100.0,3.72,0
20095,Oaxaca,San Andrés Paxtlán,4562,1.07,1.31,0.91,ns,100.0,6.22,0
20099,Oaxaca,San Andrés Tepetlapa,381,1.5,0.77,1.23,ns,100.0,26.52,0
20116,Oaxaca,San Bartolomé Ayautla,4131,0.64,0.92,1.76,ns,100.0,1.67,0
20142,Oaxaca,San Francisco Huehuetlán,842,0.97,2.84,0.61,ns,100.0,0.0,0
20149,Oaxaca,San Francisco Sola,2019,1.65,1.51,0.64,ns,100.0,12.2,0
20181,Oaxaca,San Juan Bautista Suchitepec,453,1.64,1.37,1.09,ns,100.0,3.94,0
20195,Oaxaca,San Juan Diuxi,1056,1.27,1.24,0.63,ns,100.0,9.11,0
20209,Oaxaca,San Juan Mixtepec -Dto. 26,607,0.71,0.97,3.69,ns,100.0,329.75,0
20219,Oaxaca,San Juan Teitipac,2668,0.72,1.2,1.02,ns,100.0,718.08,0
20233,Oaxaca,San Lucas Quiaviní,1720,2.09,3.63,1.7,ns,100.0,45.2,0
20284,Oaxaca,San Miguel Tilquiápam,3141,0.82,2.39,0.75,ns,100.0,0.62,0
20314,Oaxaca,San Pedro Juchatengo,1755,0.71,1.72,1.24,ns,100.0,1391.48,0
20325,Oaxaca,San Pedro Quiatoni,11930,0.89,1.18,0.69,ns,100.0,28.07,0
20354,Oaxaca,Santa Ana Ateixtlahuaca,477,2.27,1.29,1.2,ns,100.0,0.0,0
20389,Oaxaca,Santa Inés Yatzeche,908,1.58,3.79,1.28,ns,100.0,1.93,0
20396,Oaxaca,Santa María la Asunción,3259,0.97,2.39,0.93,ns,100.0,2.22,0
20452,Oaxaca,Santiago Apóstol,4421,2.38,2.21,3.1,ns,100.0,11.32,1
20454,Oaxaca,Santiago Atitlán,3556,0.92,0.73,0.87,ns,100.0,12.11,0
20466,Oaxaca,Santiago Ixtayutla,13880,1.28,0.71,0.93,ns,100.0,82.36,0
20517,Oaxaca,Santo Domingo Tepuxtepec,6029,1.59,0.87,0.93,ns,100.0,40.06,1
21061,Puebla,Eloxochitlán,14461,1.6,0.78,1.51,ns,100.0,5.67,0
21084,Puebla,Ixtepec,6950,1.67,1.18,1.05,ns,100.0,25.66,1
21146,Puebla,Santa Catarina Tlaltempan,749,1.45,1.13,1.08,ns,100.0,7.97,0
21159,Puebla,Teopantlán,3836,2.0,1.11,1.49,ns,100.0,9.4,0
21214,Puebla,Zinacatepec,18359,1.24,1.31,1.36,ns,2.4,146.62,0
22007,Querétaro,Ezequiel Montes,45141,0.6,0.93,0.83,ns,47.62,977.92,0
24024,San Luis Potosí,Rioverde,97943,0.7,0.69,0.83,ns,40.62,1594.36,1
26051,Sonora,Rosario,4830,1.76,0.89,0.55,ns,100.0,133.64,1
26055,Sonora,San Luis Río Colorado,199021,0.63,0.64,1.29,ns,8.22,488.94,1
29027,Tlaxcala,Tenancingo,12974,0.97,1.59,0.91,BB,0.63,20.48,1
29037,Tlaxcala,Ziltlaltépec de Trinidad Sánchez Santos,9207,1.54,1.41,0.86,BB,24.77,4.93,0
30092,Veracruz,Xico,39623,0.58,2.02,0.83,BB,26.0,23.18,0
30135,Veracruz,Rafael Delgado,24127,1.51,0.81,0.92,ns,15.2,0.79,0
30140,Veracruz,San Andrés Tenejapan,3134,0.99,1.84,1.68,ns,100.0,0.26,0
30141,Veracruz,San Andrés Tuxtla,162428,0.65,1.03,0.85,ns,56.98,385.05,1
31005,Yucatán,Bokobá,2167,0.56,1.0,0.58,ns,100.0,2.02,0
31090,Yucatán,Timucuy,7503,1.48,1.91,0.71,ns,100.0,1.14,0
